Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5240162,Colombia Categoria Primera A,2023,2023-03-12 18:00:00,8,Rionegro Águilas,Deportivo Pereira,2,1,1.72,3.45,4.6,1.04,7.8,1.36,2.83,2.05,1.78,3.82,1.21,7.4,1.04,1.98,1.72
5240156,Colombia Categoria Primera A,2023,2023-03-12 20:10:00,8,Junior,Envigado,1,2,1.49,3.8,6.75,1.08,7.0,1.5,2.37,2.35,1.6,4.0,1.22,7.5,1.07,2.37,1.51
5240159,Colombia Categoria Primera A,2023,2023-03-12 22:20:00,8,Alianza Petrolera,Unión Magdalena,2,1,2.12,3.0,3.55,1.1,7.0,1.55,2.45,2.55,1.5,5.0,1.14,10.0,1.04,2.25,1.57
5240157,Colombia Categoria Primera A,2023,2023-03-13 22:10:00,8,Once Caldas,Deportivo Pasto,0,1,2.5,3.0,2.95,1.1,6.5,1.56,2.27,2.4,1.53,4.1,1.2,8.5,1.06,1.95,1.75
5240154,Colombia Categoria Primera A,2023,2023-03-14 20:00:00,8,Deportes Tolima,La Equidad,1,0,1.79,3.44,5.03,1.08,7.0,1.4,2.75,2.27,1.59,4.0,1.22,8.0,1.06,2.1,1.67
5240161,Colombia Categoria Primera A,2023,2023-03-14 22:10:00,8,Santa Fe,América de Cali,2,0,2.52,2.97,3.22,1.1,6.5,1.42,2.75,2.3,1.58,4.33,1.2,8.0,1.06,1.98,1.72
5240167,Colombia Categoria Primera A,2023,2023-03-17 22:00:00,9,Deportivo Pereira,Atlético Nacional,0,2,2.7,3.0,2.4,1.07,7.0,1.36,2.95,2.05,1.7,3.75,1.25,6.5,1.08,1.83,1.9
5240171,Colombia Categoria Primera A,2023,2023-03-18 16:00:00,9,Envigado,Boyacá Chicó,0,1,2.3,2.9,3.5,1.1,6.5,1.53,2.45,2.25,1.53,4.0,1.22,8.0,1.06,1.95,1.73
5240165,Colombia Categoria Primera A,2023,2023-03-18 18:10:00,9,La Equidad,Unión Magdalena,0,0,1.73,3.3,5.5,1.1,6.5,1.42,2.7,2.45,1.53,4.5,1.2,8.0,1.06,2.15,1.6
5240172,Colombia Categoria Primera A,2023,2023-03-18 20:20:00,9,Deportivo Pasto,Deportivo Cali,2,1,2.25,3.0,3.5,1.08,7.0,1.42,2.75,2.3,1.6,4.33,1.2,7.5,1.07,1.95,1.8
5240166,Colombia Categoria Primera A,2023,2023-03-18 22:30:00,9,Junior,Santa Fe,1,1,1.83,3.25,4.75,1.07,7.0,1.4,2.7,2.25,1.62,3.8,1.22,7.5,1.06,2.0,1.73
5240169,Colombia Categoria Primera A,2023,2023-03-19 17:30:00,9,América de Cali,Alianza Petrolera,1,0,1.55,3.6,6.0,1.07,7.0,1.44,2.4,2.3,1.55,3.8,1.22,7.0,1.07,2.38,1.53
5240170,Colombia Categoria Primera A,2023,2023-03-19 19:45:00,9,Millonarios,Rionegro Águilas,2,2,2.05,3.2,3.4,1.08,6.5,1.42,2.62,2.25,1.57,4.0,1.2,8.0,1.05,2.1,1.67
5240163,Colombia Categoria Primera A,2023,2023-03-19 22:00:00,9,Independiente Medellín,Jaguares de Córdoba,1,0,1.6,3.6,5.25,1.04,7.4,1.39,2.71,2.2,1.6,4.05,1.19,7.9,1.04,2.25,1.57
5240168,Colombia Categoria Primera A,2023,2023-03-20 20:10:00,9,Atlético Bucaramanga,Deportes Tolima,1,1,2.44,3.2,2.67,1.08,8.0,1.4,2.8,2.07,1.76,4.2,1.22,10.0,1.07,1.93,1.83
5240164,Colombia Categoria Primera A,2023,2023-03-20 22:20:00,9,Atlético Huila,Once Caldas,2,1,2.64,3.25,2.42,1.06,6.85,1.43,2.57,2.1,1.74,4.4,1.16,8.6,1.02,2.0,1.77
5240131,Colombia Categoria Primera A,2023,2023-03-22 12:15:00,2,Santa Fe,Deportivo Cali,3,0,1.85,3.1,5.4,1.08,7.0,1.36,3.0,2.15,1.66,3.75,1.25,7.0,1.08,1.91,1.85
5240119,Colombia Categoria Primera A,2023,2023-03-22 22:00:00,1,Millonarios,Deportivo Pasto,2,0,1.67,3.45,4.85,1.1,6.5,1.4,2.75,2.19,1.6,4.0,1.22,8.0,1.06,2.05,1.72
5240102,Colombia Categoria Primera A,2023,2023-03-23 20:00:00,3,La Equidad,Boyacá Chicó,2,2,2.52,2.78,2.83,1.1,8.0,1.51,2.4,2.44,1.52,4.6,1.19,8.0,1.05,1.91,1.8
5240149,Colombia Categoria Primera A,2023,2023-03-23 22:10:00,7,América de Cali,Junior,2,0,2.17,2.93,3.25,1.11,6.0,1.53,2.38,2.43,1.52,4.5,1.17,9.0,1.05,2.1,1.71
5240182,Colombia Categoria Primera A,2023,2023-03-24 22:10:00,10,Rionegro Águilas,Envigado,1,0,1.67,3.5,5.5,1.1,6.5,1.44,2.4,2.38,1.57,4.75,1.16,10.0,1.05,2.4,1.54
5240177,Colombia Categoria Primera A,2023,2023-03-25 16:00:00,10,Once Caldas,Deportivo Pereira,1,1,2.08,3.15,3.3,1.1,6.5,1.44,2.62,2.3,1.5,4.33,1.2,8.0,1.06,2.05,1.7
5240179,Colombia Categoria Primera A,2023,2023-03-25 18:10:00,10,Alianza Petrolera,Atlético Bucaramanga,2,0,1.91,3.0,4.2,1.08,7.0,1.36,3.0,2.25,1.53,3.75,1.25,7.0,1.08,1.85,1.85
5240178,Colombia Categoria Primera A,2023,2023-03-25 20:20:00,10,Atlético Nacional,Independiente Medellín,1,1,1.65,3.3,5.5,1.07,7.75,1.37,2.8,1.94,1.78,3.8,1.23,7.75,1.08,2.08,1.71
5240174,Colombia Categoria Primera A,2023,2023-03-25 22:30:00,10,Deportes Tolima,Atlético Huila,2,1,1.57,3.4,6.0,1.08,7.0,1.4,2.75,2.25,1.53,4.0,1.22,7.5,1.07,2.3,1.57
5240176,Colombia Categoria Primera A,2023,2023-03-26 17:15:00,10,Unión Magdalena,Junior,2,2,2.85,2.75,2.5,1.12,5.5,1.55,2.45,2.9,1.36,5.0,1.14,10.0,1.04,2.2,1.62
5240180,Colombia Categoria Primera A,2023,2023-03-26 19:30:00,10,Deportivo Cali,América de Cali,1,1,2.8,2.8,2.5,1.11,6.0,1.44,2.4,2.35,1.53,4.5,1.17,9.0,1.05,2.1,1.67
5240181,Colombia Categoria Primera A,2023,2023-03-26 21:45:00,10,Santa Fe,Millonarios,1,2,2.85,2.75,2.45,1.11,6.5,1.52,2.45,2.9,1.36,4.75,1.18,9.4,1.01,2.1,1.7
5240173,Colombia Categoria Primera A,2023,2023-03-27 22:05:00,10,Jaguares de Córdoba,Deportivo Pasto,0,1,2.25,3.0,3.25,1.09,7.0,1.5,2.55,2.45,1.51,4.75,1.18,9.0,1.02,2.1,1.68
